,video,prompt
0,heads_all/00003_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
1,heads_all/00003_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
2,heads_all/00005_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
3,heads_all/00005_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
4,heads_all/00007_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
5,heads_all/00007_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
6,heads_all/00009_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
7,heads_all/00009_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
8,heads_all/00014_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
9,heads_all/00014_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
10,heads_all/00019_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
11,heads_all/00019_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
12,heads_all/00022_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
13,heads_all/00022_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
14,heads_all/00023_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
15,heads_all/00023_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
16,heads_all/00025_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
17,heads_all/00025_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
18,heads_all/00029_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
19,heads_all/00029_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
20,heads_all/00031_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
21,heads_all/00031_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
22,heads_all/00034_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
23,heads_all/00034_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
24,heads_all/00036_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
25,heads_all/00036_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
26,heads_all/00037_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
27,heads_all/00037_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
28,heads_all/00039_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
29,heads_all/00039_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
30,heads_all/00040_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
31,heads_all/00040_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
32,heads_all/00042_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
33,heads_all/00042_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
34,heads_all/00043_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
35,heads_all/00043_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
36,heads_all/00044_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
37,heads_all/00044_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
38,heads_all/00045_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
39,heads_all/00045_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
40,heads_all/00047_color8.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
41,heads_all/00047_color9.mp4,"a smooth 360-degree rotation video of a human head, centered, neutral pose, consistent lighting, clean background, steady camera orbit"
